Sample_ID,LABEL,Animal_ID,DPI,SEX,VIRUS_group
Sample_3,549F RNA Blood PRE,549,0,1,3
Sample_5,515M RNA Blood PRE,515,0,2,3
Sample_6,516M RNA Blood PRE,516,0,2,2
Sample_7,534F RNA Blood PRE,534,0,1,3
Sample_8,752M RNA Blood PRE,752,0,2,2
Sample_9,750M RNA Blood PRE,750,0,2,4
Sample_10,749M RNA Blood PRE,749,0,2,4
Sample_11,802M RNA Blood PRE,802,0,2,2
Sample_12,648M RNA Blood PRE,648,0,2,3
Sample_14,546F RNA Blood PRE,546,0,1,3
Sample_15,451F RNA Blood PRE,451,0,1,4
Sample_16,376F RNA Blood PRE,376,0,1,4
Sample_17,371F RNA Blood PRE,371,0,1,2
Sample_18,467F RNA Blood PRE,467,0,1,1
Sample_19,484F RNA Blood PRE,484,0,1,3
Sample_20,375F RNA Blood PRE,375,0,1,2
Sample_23,485F RNA Blood PRE,485,0,1,2
Sample_26,375F RNA Blood 3-dpi,375,3,1,2
Sample_27,371F RNA Blood 3-dpi,371,3,1,2
Sample_28,648M RNA Blood 3-dpi,648,3,2,3
Sample_29,485F RNA Blood 3-dpi,485,3,1,2
Sample_31,451F RNA Blood 3-dpi,451,3,1,4
Sample_33,467F RNA Blood 3-dpi,467,3,1,1
Sample_34,750M RNA Blood 3-dpi,750,3,2,4
Sample_35,591M RNA Blood 3-dpi,591,3,2,4
Sample_36,515M RNA Blood 3-dpi,515,3,2,3
Sample_39,749F RNA Blood 3-dpi,749,3,2,4
Sample_40,755F RNA Blood 3-dpi,755,3,2,1
Sample_41,376F RNA Blood 3-dpi,376,3,1,4
Sample_42,534F RNA Blood 3-dpi,534,3,1,3
Sample_43,548M RNA Blood 3-dpi,548,3,2,1
Sample_44,516M RNA Blood 3-dpi,516,3,2,2
Sample_45,491F RNA Blood 3-dpi,491,3,1,1
Sample_46,549F RNA Blood 3-dpi,549,3,1,3
Sample_47,752M RNA Blood 3-dpi,752,3,2,2
Sample_48,802M RNA Blood 3-dpi,802,3,2,2
Sample_50,375F RNA Blood 5-dpi,375,5,1,2
Sample_52,749M RNA Blood 5-dpi,749,5,2,4
Sample_53,591M RNA Blood 5-dpi,591,5,2,4
Sample_54,484F RNA Blood 5-dpi,484,5,1,3
Sample_55,485F RNA Blood 5-dpi ?,485,5,1,2
Sample_56,515M RNA Blood 5-dpi,515,5,2,3
Sample_57,534F RNA Blood 5-dpi,534,5,1,3
Sample_58,546F RNA Blood 5-dpi,546,5,1,3
Sample_59,371F RNA Blood 5-dpi,371,5,1,2
Sample_60,752M RNA Blood 5-dpi,752,5,2,2
Sample_61,802M RNA Blood 5-dpi,802,5,2,2
Sample_62,549F RNA Blood 5-dpi,549,5,1,3
Sample_63,750M RNA Blood 5-dpi,750,5,2,4
Sample_64,548M RNA Blood 5-dpi,548,5,2,1
Sample_65,516M RNA Blood 5-dpi,516,5,2,2
Sample_66,561F RNA Blood 5-dpi,561,5,1,1
Sample_67,451F RNA Blood 5-dpi,451,5,1,4
Sample_68,467F RNA Blood 5-dpi,467,5,1,1
Sample_69,754M RNA Blood 5-dpi,754,5,2,1
Sample_70,479F RNA Blood 5-dpi,479,5,1,4
Sample_73,755M RNA Blood 7-dpi,755,7,2,1
Sample_74,371F RNA Blood 7-dpi,371,7,1,2
Sample_75,485F RNA Blood 7-dpi,485,7,1,2
Sample_76,516M RNA Blood 7-dpi,516,7,2,2
Sample_77,750M RNA Blood 7-dpi,750,7,2,4
Sample_78,467F RNA Blood 7-dpi,467,7,1,1
Sample_79,752M RNA Blood 7-dpi,752,7,2,2
Sample_80,479F RNA Blood 7-dpi,479,7,1,4
Sample_82,376 5-dpi,376,5,1,4
Sample_89,752M RNA Blood 9-dpi,752,9,2,2
Sample_92,802M RNA Blood 7-dpi,802,7,2,2
